Codice Prodotto;Posizione;Descrizione;Valore
0104015;1;L mm;310,00
0104015;2;W mm;290,00
0104015;3;D mm;80,00
0104015;4;Kg;1,5
0104025;1;L mm;360,00
0104025;2;W mm;330,00
0104025;3;D mm;85,00
0104025;4;Kg;2,5
0104032;1;L mm;400,00
0104032;2;W mm;350,00
0104032;3;D mm;95,00
0104032;4;Kg;3,2
0104040;1;L mm;450,00
0104040;2;W mm;400,00
0104040;3;D mm;105,00
0104040;4;Kg;4,00
0104060;1;L mm;545,00
0104060;2;W mm;465,00
0104060;3;D mm;120,00
0104060;4;Kg;6,00
0104080;1;L mm;580,00
0104080;2;W mm;540,00
0104080;3;D mm;130,00
0104080;4;Kg;8,00
0104110;1;L mm;655,00
0104110;2;W mm;595,00
0104110;3;D mm;130,00
0104110;4;Kg;10,00
0104503;1;L mm;310,00
0104503;2;W mm;160,00
0104503;3;Kg;2,8
0104504;1;L mm;325,00
0104504;2;W mm;185,00
0104504;3;Kg;3,7
0104506;1;L mm;385,00
0104506;2;W mm;205,00
0104506;3;Kg;6,00
0104508;1;L mm;495,00
0104508;2;W mm;230,00
0104508;3;Kg;8,00
0104510;1;L mm;495,00
0104510;2;W mm;245,00
0104510;3;Kg;10,00
0104518;1;L mm;386,00
0104518;2;W mm;325,00
0104518;3;Kg;18,00
0104528;1;L mm;445,00
0104528;2;W mm;380,00
0104528;3;Kg;27,00
0104536;1;L mm;505,00
0104536;2;W mm;420,00
0104536;3;Kg;35,00
0104548;1;L mm;555,00
0104548;2;W mm;450,00
0104548;3;Kg;48,00
0104558;1;L mm;585,00
0104558;2;W mm;500,00
0104558;3;Kg;58,00
0104610;1;L mm;831,00
0104610;2;W mm;584,00
0104610;3;Kg;100,00
0104615;1;L mm;1.048,00
0104615;2;W mm;670,00
0104615;3;Kg;150,00
0105004;1;L mm;540,00
0105004;2;W mm;400,00
0105004;3;Kg;4,00
0105006;1;L mm;520,00
0105006;2;W mm;460,00
0105006;3;Kg;6,00
0105008;1;L mm;685,00
0105008;2;W mm;510,00
0105008;3;Kg;8,00
0105010;1;L mm;700,00
0105010;2;W mm;510,00
0105010;3;Kg;10,00
0105012;1;L mm;720,00
0105012;2;W mm;520,00
0105012;3;Kg;12,00
0105015;1;L mm;740,00
0105015;2;W mm;610,00
0105015;3;Kg;15,00
0105020;1;L mm;760,00
0105020;2;W mm;660,00
0105020;3;Kg;20,00
0105025;1;L mm;770,00
0105025;2;W mm;660,00
0105025;3;Kg;25,00
0105030;1;L mm;820,00
0105030;2;W mm;700,00
0105030;3;Kg;30,00
0105050;1;L mm;860,00
0105050;2;W mm;750,00
0105050;3;Kg;50,00
0106505;1;L mm;520,00
0106505;2;W mm;350,00
0106505;3;C mm;470,00
0106505;4;D mm;110,00
0106505;5;Kg;5,00
0107502;1;H mm;190,00
0107502;2;L mm;350,00
0107502;3;W mm;240,00
0107502;4;Kg;2,00
0107505;1;H mm;240,00
0107505;2;L mm;470,00
0107505;3;W mm;330,00
0107505;4;Kg;5,00
0107507;1;H mm;265,00
0107507;2;L mm;530,00
0107507;3;W mm;380,00
0107507;4;Kg;7,5
0107510;1;H mm;285,00
0107510;2;L mm;560,00
0107510;3;W mm;395,00
0107510;4;Kg;10,00
0107515;1;H mm;315,00
0107515;2;L mm;620,00
0107515;3;W mm;405,00
0107515;4;Kg;15,00
0107520;1;H mm;370,00
0107520;2;L mm;700,00
0107520;3;W mm;500,00
0107520;4;Kg;20,00
0107530;1;H mm;445,00
0107530;2;L mm;820,00
0107530;3;W mm;540,00
0107530;4;Kg;30,00
0107602;1;H mm;190,00
0107602;2;L mm;350,00
0107602;3;W mm;230,00
0107602;4;Kg;2,00
0107605;1;H mm;210,00
0107605;2;L mm;465,00
0107605;3;W mm;315,00
0107605;4;Kg;5,00
0107607;1;H mm;280,00
0107607;2;L mm;530,00
0107607;3;W mm;360,00
0107607;4;Kg;7,5
0107610;1;H mm;295,00
0107610;2;L mm;580,00
0107610;3;W mm;410,00
0107610;4;Kg;10,00
0107615;1;H mm;340,00
0107615;2;L mm;655,00
0107615;3;W mm;435,00
0107615;4;Kg;15,00
0107620;1;H mm;350,00
0107620;2;L mm;670,00
0107620;3;W mm;460,00
0107620;4;Kg;20,00
0107630;1;H mm;410,00
0107630;2;L mm;815,00
0107630;3;W mm;560,00
0107630;4;Kg;30,00
0107704;1;L mm;514,00
0107704;2;W mm;230,00
0107704;3;Kg;4,00
0107704;4;Barche a motore;<6,8 m
0107704;5;Barche a vela;<6 m
0107706;1;L mm;593,00
0107706;2;W mm;265,00
0107706;3;Kg;6,00
0107706;4;Barche a motore;<9 m
0107706;5;Barche a vela;<8 m
0107710;1;L mm;695,00
0107710;2;W mm;310,00
0107710;3;Kg;10,00
0107710;4;Barche a motore;<12 m
0107710;5;Barche a vela;<10 m
0107716;1;L mm;812,00
0107716;2;W mm;362,00
0107716;3;Kg;16,00
0107716;4;Barche a motore;<15,5 m
0107716;5;Barche a vela;<13,5 m
0107720;1;L mm;877,00
0107720;2;W mm;392,00
0107720;3;Kg;20,00
0107720;4;Barche a motore;<17 m
0107720;5;Barche a vela;<15 m
0107725;1;L mm;945,00
