Codice Categoria/Nodo;Codice Categoria/Nodo Padre;Nome Categoria/Nodo Italiana;Nome Categoria/Nodo Inglese;Descrizione Categoria/Nodo Italiana;Descrizione Categoria/Nodo Inglese
1290;2;CUCINE FRIGORIFERI/SANITARI IDRAULICA/RACCORDERIA POMPE;STOVES REFRIGERATORS/TOILETS PLUMBING/FITTINGS PUMPS;Categoria_4;
1325;1290;LAVELLI / CUCINE;SINKS / STOVES;;
1326;1325;LAVELLI;SINKS;;
1347;1325;PIANI DI COTTURA CON LAVELLO;STOVES WITH SINK;;
1353;1325;FORNELLI A GAS AD INCASSO CON COPERCHIO;BUILT-IN GAS STOVES WITH COVER;;
19711;1325;FORNELLI A GAS AD INCASSO;BUILT-IN GAS STOVES;;
1362;1325;FORNELLI AD APPOGGIO E PORTATILI;TABLETOP AND PORTABLE STOVES;;
1378;1325;PIANI DI COTTURA ELETTRICI;ELECTRIC HOTPLATES;;
1381;1325;CUCINE A GAS;RANGE OVENS;;
1390;1290;FRIGORIFERI;REFRIGERATORS;;
1391;1390;GHIACCIAIE PORTATILI;PORTABLE ICE CHESTS;;
1404;1390;FRIGORIFERI A POZZETTO CON COMPRESSORE 12/24V;TOP LOADING REFRIGERATORS  WITH 12/24V COMPRESSOR;;
1414;1390;FRIGORIFERI CON COMPRESSORE 12/24V;REFRIGERATORS WITH 12/24V COMPRESSOR;;
1421;1390;GRUPPI PER CELLE FRIGO;REFRIGERATION UNIT SYSTEMS;;
1434;1290;WC - TOILETS;TOILETS;;
1435;1434;TOILETS MANUALI;MANUAL TOILETS;;
1463;1434;ACCESSORI E RICAMBI PER WC;TOILET ACCESSORIES AND SPARE PARTS;;
1452;1434;TOILETS ELETTRICHE;ELECTRIC TOILETS;;
16154;1434;TOILETS ELETTRICHE SILENT;ELECTRIC VACUUM TOILETS;;
1488;1434;TOILETS PORTATILI PORTA POTTI;PORTA POTTI PORTABLE HEADS;;
1497;1290;CLIMA / BOILERS;CLIMA / BOILERS;;
1498;1497;CLIMATIZZATORI;MARINE AIR CONDITIONING;;
1517;1497;SCALDA ACQUA - NAUTIC BOILERS;MARINE WATER HEATERS;;
1526;1290;RUBINETTERIA;TAPS AND FITTINGS;;
1527;1526;RUBINETTI ;FAUCETS;;
1533;1526;MISCELATORI;MIXER FAUCETS;;
1553;1526;DOCCETTE;SHOWER HEADS;;
1564;1526;DOCCETTE INCASSATE A SCOMPARSA;RETRACTABLE RECESSED SHOWERS;;
1575;1290;SERBATOI ACQUA;FRESHWATER TANKS;;
1581;1575;RICAMBI E ACCESSORI PER SERBATOI;TANKS' SPARES AND ACCESSORIES;;
1586;1575;SERBATOI IN PLASTICA PER ACQUA POTABILE;POLYETHYLENE FRESH WATER TANKS;;
1591;1575;SERBATOI FLESSIBILI PER ACQUA;FLEXIBLE WATER TANKS;;
1595;1290;FILTRI;FILTERS;;
1596;1595;FILTRI ACQUA SANITARIA;SANITARY WATER FILTERS;;
1600;1595;FILTRI ANTI-INQUINAMENTO;POLLUTION-FREE FILTERS;;
1604;1595;FILTRI ACQUA MARE;SEA WATER STRAINERS;;
1611;1290;RACCORDI E TUBI;FITTINGS AND HOSES;;
1619;1611;RACCORDERIA IN OTTONE;BRASS PIPE FITTINGS;;
1637;1611;RACCORDERIA IN ACCIAIO INOX;STAINLESS STEEL PIPE FITTINGS;;
1652;1611;TUBI ACQUA CARBURANTE E SCARICO;WATER FUEL AND EXHAUST HOSES;;
1664;1611;FASCETTE STRINGITUBO INOX 316;316 STAINLESS STEEL HOSE CLAMPS;;
