Codice Categoria/Nodo;Codice Categoria/Nodo Padre;Nome Categoria/Nodo Italiana;Nome Categoria/Nodo Inglese;Descrizione Categoria/Nodo Italiana;Descrizione Categoria/Nodo Inglese
1330;1326;Lavello Sferico Inox Lucido;Polished Stainless Steel Round Basin Sink;Lavello sferico in Acciaio Inossidabile lucido. Da completare con piletta grande.;Round Polished Stainless Steel sink. To be completed with large drain fitting.
1331;1326;Lavello Ovale Inox Lucido;Polished Stainless Steel Oval Basin Sink;Lavello ovale in Acciaio Inossidabile lucido. Da completare con piletta grande.;Oval Polished Stainless Steel sink. To be completed with large drain fitting.
1332;1326;Lavello Cilindrico Inox Lucido;Polished Stainless Steel Cylindrical Basin Sink;Lavello cilindrico in Acciaio Inossidabile lucidato a specchio. Da completare con piletta grande.;"Cylindrical&nbsp;Polished Stainless Steel sink. To be completed with large drain fitting."
1348;1347;Piano di Cottura con Lavello Compact;Compact Set-in Stove with Sink;Lavello-Fornello compatto in Acciaio Inox satinato con termosicurezze e piletta.;Satinized Stainless Steel compact sink-stove with safety thermocouples and drain fittings.
1350;1347;Piano di Cottura con Lavello Standard;Standard Set-in Stove with Sink;Lavello-Fornello standard in Acciaio Inox satinato con termosicurezze.;Satinized Stainless Steel standard sink-stove with safety thermocouples.
1351;1347;Piano di Cottura con Lavello Large;Large Set-in Stove with Sink;Lavello-Fornello grande in Acciaio Inox satinato con termosicurezze.;Satinized Stainless Steel large sink-stove with safety thermocouples
1357;19711;Fornello 1 Fuoco Burny1;1 Burner Stove Burny1;Fornello a incasso a 1 fuoco con piano in Acciaio Inox lucido e termosicurezze. ↵Altezza incasso 80 mm.;1 Burner Polished Stainless Steel flush-in stove with safety thermocouples. ↵Recess height 80 mm.
1358;19711;Fornello 2 Fuochi Burny2;2 Burner Stove Burny2;Fornello a incasso a 2 fuochi con piano in Acciaio Inox lucido e termosicurezze. ↵Altezza incasso 80 mm.;2 Burner Polished Stainless Steel flush-in stove with safety thermocouples. ↵Recess height 80 mm.
1359;19711;Fornello 3 Fuochi Burny3;3 Burner Stove Burny3;"Fornello a incasso a 3 fuochi con piano in Acciaio Inox lucido e termosicurezze. ↵
Dimensioni incasso: 430 x 320 x H80 mm.";"3 Burner Polished Stainless Steel flush-in stove with safety thermocouples. ↵
Recess dimensions: 430 x 320 x H80 mm."
1360;1353;Fornello 2 Fuochi Flush-in;2 Burner Stove Flush-in;"Fornello a incasso a 2 fuochi in Acciaio Inox satinato con termosicurezze e  
coperchio in Cristallo Temperato.";2 Burner satinized Stainless Steel flush-in stove with safety thermocouples and tempered plate glass cover.
1361;1353;Fornello 3 Fuochi Flush-in;3 Burner Stove Flush-in;"Fornello a incasso a 3 fuochi in Acciaio Inox satinato con termosicurezze e 
coperchio in Cristallo Temperato.";3 Burner satinized Stainless Steel flush-in stove with safety thermocouples and tempered plate glass cover.
1363;1362;Fornello 1 Fuoco Hotty1;1 Burner Stove Hotty1;Fornello a 1 fuoco in Acciaio Inox con termosicurezze.;1 Burner Stainless Steel stove with safety thermocouples.
