Codice Prodotto;Descrizione Prodotto Breve Italiana;Codice Categoria;Um;Peso;Disponibilita' maggiore di 0;Obsoleto;Novita';In Offerta;Tipo Offerta;Listino Base;Netto Cliente;Unita' Misura Street Price;Street Price Ivato;Nome Immagine;Link Caratteristiche;Ultimo Aggiornamento
0104015;ANCORA OMB 1.5< ;10004;PZ;1,50;Si;No;No;No;Nessuna;11,50;5,75;;11,50;0104015;http://www.motomarine.it/catalogo/xsia/0104015;2021-02-12
0104025;ANCORA OMB 2.5< ;10004;PZ;2,50;Si;No;No;No;Nessuna;19,00;9,50;;19,00;0104015;http://www.motomarine.it/catalogo/xsia/0104025;2021-02-12
0104032;ANCORA OMB 3.2< ;10004;PZ;3,20;Si;No;No;No;Nessuna;23,50;11,75;;23,50;0104015;http://www.motomarine.it/catalogo/xsia/0104032;2021-02-12
0104040;ANCORA OMB 4.0< ;10004;PZ;4,00;Si;No;No;No;Nessuna;28,10;14,05;;28,10;0104015;http://www.motomarine.it/catalogo/xsia/0104040;2021-02-12
0104060;ANCORA OMB 6.0< ;10004;PZ;6,00;Si;No;No;No;Nessuna;41,80;20,90;;41,80;0104015;http://www.motomarine.it/catalogo/xsia/0104060;2021-02-12
0104080;ANCORA OMB 8.0< ;10004;PZ;8,00;Si;No;No;No;Nessuna;54,20;27,10;;54,20;0104015;http://www.motomarine.it/catalogo/xsia/0104080;2021-02-12
0104110;ANCORA OMB 10< ;10004;PZ;10,00;Si;No;No;No;Nessuna;67,20;33,60;;67,20;0104015;http://www.motomarine.it/catalogo/xsia/0104110;2021-02-12
0104503;ANCORA HALL 2.8< ;10005;PZ;2,80;Si;No;No;No;Nessuna;19,40;9,70;;19,40;0104503;http://www.motomarine.it/catalogo/xsia/0104503;2021-02-12
0104504;ANCORA HALL 3.7< ;10005;PZ;3,70;Si;No;No;No;Nessuna;28,40;14,20;;28,40;0104503;http://www.motomarine.it/catalogo/xsia/0104504;2021-02-12
0104506;ANCORA HALL 6< ;10005;PZ;6,30;Si;No;No;No;Nessuna;42,20;21,10;;42,20;0104503;http://www.motomarine.it/catalogo/xsia/0104506;2021-02-12
0104508;ANCORA HALL 8< ;10005;PZ;8,00;Si;No;No;No;Nessuna;54,80;27,40;;54,80;0104503;http://www.motomarine.it/catalogo/xsia/0104508;2021-02-12
